"","X","id","scrape_id","source","host_id","host_name","host_since","host_response_rate","host_acceptance_rate","host_neighbourhood","host_listings_count","host_total_listings_count","host_verifications","host_has_profile_pic","host_identity_verified","neighbourhood","neighbourhood_cleansed","latitude","longitude","property_type","room_type","accommodates","bathrooms","bathrooms_text","bedrooms","beds","price","minimum_nights","maximum_nights","minimum_minimum_nights","maximum_minimum_nights","minimum_maximum_nights","maximum_maximum_nights","minimum_nights_avg_ntm","maximum_nights_avg_ntm","has_availability","availability_30","availability_60","availability_90","availability_365","calendar_last_scraped","number_of_reviews_ltm","number_of_reviews_l30d","availability_eoy","number_of_reviews_ly","estimated_occupancy_l365d","estimated_revenue_l365d","first_review","last_review","instant_bookable","calculated_host_listings_count","calculated_host_listings_count_entire_homes","calculated_host_listings_count_private_rooms","calculated_host_listings_count_shared_rooms","wifi","hair.dryer","hot.water","dishes.and.silverware","kitchen","iron","cooking.basics","hangers","refrigerator","bed.linens","essentials","heating","shampoo","microwave","hot.water.kettle","smoke.alarm","long.term.stays.allowed","shower.gel","dedicated.workspace","dining.table","f_room_type","f_room_type2","Czech_koruna_price_day","p_host_response_rate","p_host_acceptance_rate","accommodates_n","bathrooms_n","number_of_reviews_n","minimum_nights_n","beds_n","ln_price","accommodates2","ln_accommodates","ln_accommodates2","ln_number_of_reviews","f_bathroom","f_minimum_nights"
"1",1,23163,20250316041547,"city scrape",5282,"Klara","2008-12-17","100","100","Josefov",72,82,"['email', 'phone']",1,1,"","Praha 1",50.08229,14.41552,"Rental Unit","Entire home/apt",4,1,"1 bath",1,2,2918,1,365,1,7,60,731,1.4,663.6,"t",0,0,0,0,"2025-03-16",1,0,0,1,6,17508,"2010-09-20","2024-06-15",1,70,69,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,"Entire home/apt","Entire/Apt",2918,100,100,4,1,31,1,2,7.97865372908273,16,1.38629436111989,1.92181205567281,3.46573590279973,2,1
"2",3,26755,20250316041547,"city scrape",113902,"Daniel+Bea","2010-04-26","100","98","Staré Město",4,4,"['email', 'phone']",1,1,"Prague, Hlavní město Praha, Czechia","Praha 1",50.08729,14.43179,"Rental Unit","Entire home/apt",4,1.5,"1.5 baths",1,2,1582,3,700,3,4,1125,1125,3.1,1125,"t",3,7,24,173,"2025-03-16",53,3,173,57,255,403410,"2015-05-19","2025-03-07",0,3,3,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,"Entire home/apt","Entire/Apt",1582,100,98,4,1.5,411,3,2,7.3664451483276,16,1.38629436111989,1.92181205567281,6.02102334934953,2,3
"3",4,782440,20250316041547,"city scrape",4102236,"Bonny","2012-11-09","100","80","Žižkov",6,6,"['email', 'phone']",1,1,"","Praha 3",50.08704,14.44539,"Private Room","Private room",2,1,"1 private bath",1,2,860,3,60,1,3,60,60,3,60,"t",5,5,5,5,"2025-03-16",52,5,5,52,255,219300,"2013-01-04","2025-03-02",0,6,3,3,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,0,"Private room","Private",860,100,80,2,1,414,3,2,6.75693238924755,4,0.693147180559945,0.480453013918201,6.0282785202307,2,3
"4",5,782489,20250316041547,"city scrape",4102236,"Bonny","2012-11-09","100","80","Žižkov",6,6,"['email', 'phone']",1,1,"","Praha 3",50.08525,14.44513,"Private Room","Private room",2,1,"1 private bath",1,3,629,3,60,3,3,60,60,3,60,"t",3,3,3,3,"2025-03-16",47,3,3,48,255,160395,"2013-03-25","2025-03-01",0,6,3,3,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,0,"Private room","Private",629,100,80,2,1,389,3,3,6.44413125670044,4,0.693147180559945,0.480453013918201,5.96614673912369,2,3
"5",6,782770,20250316041547,"city scrape",4102236,"Bonny","2012-11-09","100","80","Žižkov",6,6,"['email', 'phone']",1,1,"","Praha 3",50.0852,14.44644,"Private Room","Private room",2,1,"1 private bath",1,1,772,3,60,3,3,60,60,3,60,"t",6,6,6,6,"2025-03-16",52,2,6,53,255,196860,"2013-02-06","2025-02-23",0,6,3,3,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,0,"Private room","Private",772,100,80,2,1,381,3,1,6.64898455002478,4,0.693147180559945,0.480453013918201,5.94542060860658,2,3
"6",7,790196,20250316041547,"city scrape",1240390,"Sarah","2011-10-03","100","100","Staré Město",19,21,"['email', 'phone']",1,1,"Prague 1, Nove Mesto, Czechia","Praha 1",50.0815,14.42123,"Condo","Entire home/apt",4,1.5,"1.5 baths",1,2,2389,1,1125,1,5,1125,1125,1.4,1125,"t",13,25,36,294,"2025-03-16",49,3,220,54,255,609195,"2012-12-13","2025-03-15",1,19,19,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Entire home/apt","Entire/Apt",2389,100,100,4,1.5,766,1,2,7.77863014732581,16,1.38629436111989,1.92181205567281,6.64248680136726,2,1
"7",8,797201,20250316041547,"city scrape",1556914,"Eugenia","2012-01-02","100","100","",1,8,"['email', 'phone', 'work_email']",1,1,"Prague, Czechia","Praha 1",50.08787,14.42235,"Rental Unit","Entire home/apt",2,1,"1 bath",0,1,1768,2,999,1,2,999,999,2,999,"t",8,16,26,277,"2025-03-16",1,0,203,1,6,10608,"2013-01-04","2024-12-25",1,1,1,0,0,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,"Entire home/apt","Entire/Apt",1768,100,100,2,1,10,2,1,7.47760424319759,4,0.693147180559945,0.480453013918201,2.39789527279837,2,2
"8",9,814677,20250316041547,"city scrape",9345552,"Romana","2013-10-10","100","93","Staré Město",45,46,"['email', 'phone', 'work_email']",1,1,"","Praha 1",50.08588,14.42116,"Rental Unit","Entire home/apt",6,1,"1 bath",2,3,2656,2,1125,2,5,1125,1125,2.5,1125,"t",5,8,16,241,"2025-03-16",3,0,167,8,18,47808,"2014-04-20","2024-07-31",0,44,44,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,"Entire home/apt","Entire/Apt",2656,100,93,6,1,56,2,3,7.88457651059632,36,1.79175946922805,3.2104019955684,4.04305126783455,2,2
"9",10,814687,20250316041547,"city scrape",9345552,"Romana","2013-10-10","100","93","Staré Město",45,46,"['email', 'phone', 'work_email']",1,1,"","Praha 1",50.08588,14.42116,"Rental Unit","Entire home/apt",6,1,"1 bath",2,2,2882,2,1125,2,5,1125,1125,2.3,1125,"t",5,20,29,268,"2025-03-16",2,0,194,2,12,34584,"2015-08-11","2024-12-07",0,44,44,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0,1,0,"Entire home/apt","Entire/Apt",2882,100,93,6,1,18,2,2,7.96623977655947,36,1.79175946922805,3.2104019955684,2.94443897916644,2,2
"10",11,814691,20250316041547,"city scrape",9345552,"Romana","2013-10-10","100","93","Staré Město",45,46,"['email', 'phone', 'work_email']",1,1,"","Praha 1",50.08588,14.42116,"Rental Unit","Entire home/apt",8,2,"2 baths",3,4,3496,2,1125,1,5,1125,1125,2.5,1125,"t",4,14,20,243,"2025-03-16",17,0,169,17,102,356592,"2013-06-09","2025-01-12",0,44,44,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0,1,0,"Entire home/apt","Entire/Apt",3496,100,93,8,2,169,2,4,8.15937473677543,64,2.07944154167984,4.32407712526381,5.13579843705026,3,2
"11",12,814705,20250316041547,"city scrape",9345552,"Romana","2013-10-10","100","93","Staré Město",45,46,"['email', 'phone', 'work_email']",1,1,"","Praha 1",50.08588,14.42116,"Rental Unit","Entire home/apt",14,3,"3 baths",5,6,6917,2,1125,1,5,1125,1125,2.5,1125,"t",1,4,10,210,"2025-03-16",19,0,136,17,114,788538,"2013-07-22","2025-01-27",0,44,44,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0,1,0,"Entire home/apt","Entire/Apt",6917,100,93,14,3,77,2,6,8.84173742860058,196,2.63905732961526,6.96462358899602,4.35670882668959,3,2
"12",14,42514,20250316041547,"city scrape",185641,"Victoria","2010-07-30","100","0","",1,5,"['email', 'phone']",1,1,"","Praha 1",50.08228,14.41345,"Rental Unit","Entire home/apt",3,1,"1 bath",1,2,2736,7,365,7,7,365,365,7,365,"t",27,57,87,362,"2025-03-16",0,0,288,0,0,0,"2010-08-18","2023-04-30",0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,"Entire home/apt","Entire/Apt",2736,100,0,3,1,333,7,2,7.91425227874244,9,1.09861228866811,1.20694896081258,5.8111409929767,2,3
"13",15,52148,20250316041547,"city scrape",227945,"Alex And Kate","2010-09-08","100","100","Prague 2",123,194,"['email', 'phone']",1,1,"Prague, Hlavní město Praha, Czechia","Praha 2",50.0709,14.43157,"Rental Unit","Entire home/apt",7,1,"1 bath",1,4,1678,1,365,1,5,1125,1125,1.7,1125,"t",24,54,71,71,"2025-03-16",49,1,71,60,255,427890,"2010-11-04","2025-02-17",1,101,101,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,"Entire home/apt","Entire/Apt",1678,100,100,7,1,276,1,4,7.42535788702715,49,1.94591014905531,3.78656630819647,5.62401750618734,2,1
"14",16,55844,20250316041547,"city scrape",227945,"Alex And Kate","2010-09-08","100","100","Prague 2",123,194,"['email', 'phone']",1,1,"Prague, Hlavní město Praha, Czechia","Praha 2",50.07834,14.43302,"Rental Unit","Entire home/apt",3,1,"1 bath",1,2,1320,2,365,1,5,1125,1125,2.1,1125,"t",8,34,51,51,"2025-03-16",55,4,51,50,255,336600,"2010-10-25","2025-03-09",1,101,101,0,0,1,1,1,0,1,1,0,1,0,0,1,1,1,0,0,1,1,0,1,0,"Entire home/apt","Entire/Apt",1320,100,100,3,1,495,2,2,7.18538701558042,9,1.09861228866811,1.20694896081258,6.20657592672493,2,2
"15",17,55856,20250316041547,"city scrape",227945,"Alex And Kate","2010-09-08","100","100","Prague 2",123,194,"['email', 'phone']",1,1,"Prague, Hlavní město Praha, Czechia","Praha 2",50.07724,14.43383,"Rental Unit","Entire home/apt",4,1,"1 bath",1,2,1435,2,365,1,5,1125,1125,2.1,1125,"t",15,41,58,58,"2025-03-16",57,3,58,57,255,365925,"2010-10-25","2025-03-14",1,101,101,0,0,1,1,1,0,1,1,0,1,0,0,1,1,1,0,0,1,1,0,1,0,"Entire home/apt","Entire/Apt",1435,100,100,4,1,415,2,2,7.26892012819372,16,1.38629436111989,1.92181205567281,6.03068526026126,2,2
"16",18,70003,20250316041547,"city scrape",227945,"Alex And Kate","2010-09-08","100","100","Prague 2",123,194,"['email', 'phone']",1,1,"Prague, Czechia","Praha 3",50.08655,14.4512,"Rental Unit","Entire home/apt",3,1,"1 bath",1,2,1162,2,365,2,5,1125,1125,2.1,1125,"t",21,49,66,66,"2025-03-16",35,2,66,43,210,244020,"2011-04-04","2025-02-20",1,101,101,0,0,1,1,1,0,1,1,0,1,0,0,1,1,1,0,0,1,1,0,1,0,"Entire home/apt","Entire/Apt",1162,100,100,3,1,274,2,2,7.05789793741186,9,1.09861228866811,1.20694896081258,5.61677109766657,2,2
"17",19,818081,20250316041547,"city scrape",4279290,"Vincent","2012-11-29","100","100","Josefov",12,14,"['email', 'phone']",1,1,"Prague, Prague 1, Czechia","Praha 1",50.09014,14.42619,"Private Room","Private room",3,1,"1 shared bath",1,2,671,2,365,1,2,365,365,2,365,"t",3,4,10,201,"2025-03-16",66,4,127,62,255,171105,"2013-01-01","2025-02-28",1,12,4,8,0,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,"Private room","Private",671,100,100,3,1,838,2,2,6.50876913697168,9,1.09861228866811,1.20694896081258,6.73221070646721,2,2
"18",20,820954,20250316041547,"city scrape",3961711,"MJMorris S.R.O. /Veronika And Ilan","2012-10-24","100","96","Mala Strana",2,15,"['email', 'phone']",1,1,"Prague, Czechia","Praha 1",50.08754,14.40874,"Serviced Apt","Entire home/apt",6,1.5,"1.5 baths",2,4,6393,1,1125,1,5,1125,1125,3,1125,"t",9,14,22,153,"2025-03-16",40,2,82,42,240,1534320,"2013-10-07","2025-03-11",0,2,2,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,"Entire home/apt","Entire/Apt",6393,100,96,6,1.5,243,1,4,8.76295892076673,36,1.79175946922805,3.2104019955684,5.4971682252932,2,1
"19",21,822456,20250316041547,"city scrape",383698,"Veronika","2011-02-09","100","100","Staré Město",36,36,"['email', 'phone']",1,1,"Prague, Hlavní město Praha, Czechia","Praha 2",50.07692,14.41433,"Rental Unit","Entire home/apt",9,1.5,"1.5 baths",1,9,2012,1,365,1,2,365,365,1.2,365,"t",12,35,58,308,"2025-03-16",39,2,237,41,234,470808,"2013-09-26","2025-02-26",1,36,36,0,0,1,1,1,1,1,1,0,1,1,1,0,1,0,1,0,0,1,0,0,0,"Entire home/apt","Entire/Apt",2012,100,100,9,1.5,148,1,9,7.60688453121963,81,2.19722457733622,4.82779584325033,5.00394630594546,2,1
"20",22,843670,20250316041547,"city scrape",4404457,"Michal","2012-12-14","100","97","Staré Město",1,1,"['email', 'phone']",1,1,"Prague, Hlavní město Praha, Czechia","Praha 1",50.08431,14.423,"Rental Unit","Entire home/apt",6,1.5,"1.5 baths",2,5,2561,3,60,1,3,1125,1125,3,1125,"t",1,1,4,24,"2025-03-16",15,2,24,17,90,230490,"2013-01-03","2025-02-23",1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,"Entire home/apt","Entire/Apt",2561,100,97,6,1.5,193,3,5,7.84815308619953,36,1.79175946922805,3.2104019955684,5.26785815906333,2,3
"21",25,874212,20250316041547,"city scrape",4615124,"Julius","2013-01-07","100","100","Letná",2,3,"['email', 'phone']",1,1,"Prague, Hlavní město Praha, Czechia","Praha 7",50.10039,14.4313,"Rental Unit","Entire home/apt",3,1,"1 bath",1,4,1531,3,1000,3,3,1125,1125,3,1125,"t",29,42,42,42,"2025-03-16",5,0,42,4,30,45930,"2013-05-20","2025-01-04",0,2,2,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,"Entire home/apt","Entire/Apt",1531,100,100,3,1,76,3,4,7.33367639565768,9,1.09861228866811,1.20694896081258,4.34380542185368,2,3
"22",26,874482,20250316041547,"city scrape",4615124,"Julius","2013-01-07","100","100","Letná",2,3,"['email', 'phone']",1,1,"Prague, Hlavní město Praha, Czechia","Praha 7",50.09884,14.42953,"Rental Unit","Entire home/apt",5,1.5,"1.5 baths",2,6,2171,3,1000,3,3,1125,1125,3,1125,"t",30,45,45,46,"2025-03-16",8,0,45,7,48,104208,"2013-04-01","2025-01-02",0,2,2,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,"Entire home/apt","Entire/Apt",2171,100,100,5,1.5,67,3,6,7.68294316987829,25,1.6094379124341,2.59029039398023,4.21950770517611,2,3
"23",27,75298,20250316041547,"city scrape",398991,"Emanuele","2011-02-19","N/A","100","",2,3,"['email', 'phone']",1,1,"","Praha 1",50.092285,14.4329,"Rental Unit","Entire home/apt",2,1,"1 bath",1,1,1143,3,30,1,3,1125,1125,2.6,1125,"t",0,0,0,0,"2025-03-16",2,0,0,2,12,13716,"2016-08-22","2024-09-30",0,2,2,0,0,1,1,1,1,0,1,1,0,1,1,1,1,0,1,0,0,0,0,1,0,"Entire home/apt","Entire/Apt",1143,-1,100,2,1,37,3,1,7.04141166379481,4,0.693147180559945,0.480453013918201,3.63758615972639,2,3
"24",28,79373,20250316041547,"city scrape",5282,"Klara","2008-12-17","100","100","Josefov",72,82,"['email', 'phone']",1,1,"","Praha 1",50.08844,14.42424,"Rental Unit","Entire home/apt",4,1,"1 bath",1,2,2183,1,365,1,7,60,731,1.4,663.6,"t",29,35,35,35,"2025-03-16",1,0,35,3,6,13098,"2011-04-05","2024-10-15",1,70,69,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,"Entire home/apt","Entire/Apt",2183,100,100,4,1,53,1,2,7.68845535654994,16,1.38629436111989,1.92181205567281,3.98898404656427,2,1
"25",29,79381,20250316041547,"city scrape",5282,"Klara","2008-12-17","100","100","Josefov",72,82,"['email', 'phone']",1,1,"","Praha 1",50.08943,14.42373,"Rental Unit","Entire home/apt",4,1.5,"1.5 baths",1,1,2979,1,365,1,7,60,731,1.4,663.6,"t",29,35,35,35,"2025-03-16",2,0,35,2,12,35748,"2011-06-14","2024-07-06",1,70,69,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,"Entire home/apt","Entire/Apt",2979,100,100,4,1.5,19,1,1,7.99934295271328,16,1.38629436111989,1.92181205567281,2.99573227355399,2,1
"26",30,79387,20250316041547,"city scrape",5282,"Klara","2008-12-17","100","100","Josefov",72,82,"['email', 'phone']",1,1,"","Praha 1",50.08943,14.42373,"Rental Unit","Entire home/apt",4,1,"1 bath",1,2,2183,1,365,1,7,60,731,1.4,663.6,"t",29,35,35,35,"2025-03-16",6,0,35,6,36,78588,"2011-04-12","2024-12-14",1,70,69,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,"Entire home/apt","Entire/Apt",2183,100,100,4,1,33,1,2,7.68845535654994,16,1.38629436111989,1.92181205567281,3.52636052461616,2,1
"27",31,79711,20250316041547,"city scrape",5282,"Klara","2008-12-17","100","100","Josefov",72,82,"['email', 'phone']",1,1,"","Praha 1",50.08051,14.41487,"Rental Unit","Entire home/apt",4,1,"1 bath",1,2,2277,1,365,1,7,60,731,1.4,671.4,"t",30,31,31,31,"2025-03-16",0,0,31,2,0,0,"2012-08-28","2024-02-25",1,70,69,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,"Entire home/apt","Entire/Apt",2277,100,100,4,1,20,1,2,7.73061406606374,16,1.38629436111989,1.92181205567281,3.04452243772342,2,1
"28",32,83067,20250316041547,"city scrape",315332,"Lubos & Marta","2010-12-10","100","95","Staré Město",14,32,"['email', 'phone', 'work_email']",1,1,"","Praha 1",50.08409,14.41352,"Rental Unit","Entire home/apt",4,1,"1 bath",1,4,2507,3,365,1,5,365,365,4,365,"t",14,28,52,192,"2025-03-16",42,2,192,43,252,631764,"2011-06-10","2025-02-25",0,14,14,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,"Entire home/apt","Entire/Apt",2507,100,95,4,1,262,3,4,7.82684209815829,16,1.38629436111989,1.92181205567281,5.57215403217776,2,3
"29",34,882759,20250316041547,"city scrape",3228013,"Kira And Irina","2012-08-11","100","49","Prague 2",36,36,"['email', 'phone']",1,1,"Prague, Hlavní město Praha, Czechia","Praha 2",50.07397,14.43056,"Rental Unit","Entire home/apt",6,1,"1 bath",1,1,2077,1,1125,1,3,1125,1125,1.6,1125,"t",30,60,89,364,"2025-03-16",2,0,290,2,12,24924,"2013-03-05","2024-09-02",0,34,22,10,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,0,"Entire home/apt","Entire/Apt",2077,100,49,6,1,71,1,1,7.63867982387611,36,1.79175946922805,3.2104019955684,4.27666611901606,2,1
"30",36,933489,20250316041547,"city scrape",3228013,"Kira And Irina","2012-08-11","100","49","Prague 2",36,36,"['email', 'phone']",1,1,"Prague, Hlavní město Praha, Czechia","Praha 2",50.07397,14.43056,"Rental Unit","Entire home/apt",6,1,"1 bath",1,4,2077,1,1125,1,3,1125,1125,1.6,1125,"t",18,38,50,281,"2025-03-16",20,0,207,20,120,249240,"2013-07-26","2024-12-02",0,34,22,10,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,0,"Entire home/apt","Entire/Apt",2077,100,49,6,1,114,1,4,7.63867982387611,36,1.79175946922805,3.2104019955684,4.74493212836325,2,1
"31",37,933583,20250316041547,"city scrape",3228013,"Kira And Irina","2012-08-11","100","49","Prague 2",36,36,"['email', 'phone']",1,1,"Prague, Hlavní město Praha, Czechia","Praha 2",50.07397,14.43056,"Rental Unit","Entire home/apt",4,1,"1 bath",0,1,4074,1,1125,1,3,1125,1125,1.6,1125,"t",20,44,66,338,"2025-03-16",5,0,264,6,30,122220,"2013-04-08","2024-10-26",0,34,22,10,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,0,1,0,"Entire home/apt","Entire/Apt",4074,100,49,4,1,210,1,1,8.31238059678675,16,1.38629436111989,1.92181205567281,5.35185813347607,2,1
"32",38,933836,20250316041547,"city scrape",3228013,"Kira And Irina","2012-08-11","100","49","Prague 2",36,36,"['email', 'phone']",1,1,"Prague, Czechia","Praha 2",50.0706,14.43003,"Rental Unit","Entire home/apt",2,1,"1 bath",0,1,2112,1,1125,1,3,1125,1125,1.1,1125,"t",27,50,79,353,"2025-03-16",4,0,279,5,24,50688,"2013-03-29","2025-02-12",0,34,22,10,0,1,1,1,0,1,1,0,1,0,1,0,1,1,0,0,0,0,1,1,0,"Entire home/apt","Entire/Apt",2112,100,49,2,1,173,1,1,7.65539064482615,4,0.693147180559945,0.480453013918201,5.15905529921453,2,1
"33",39,935534,20250316041547,"city scrape",48087076,"Eva","2015-11-03","N/A","N/A","",1,2,"['email', 'phone']",1,1,"Prague, Czechia","Praha 4",50.05958,14.42289,"Rental Unit","Entire home/apt",2,1,"1 bath",1,2,1067,2,300,2,28,300,300,6.6,300,"t",0,9,29,105,"2025-03-16",32,0,105,34,192,204864,"2014-04-22","2025-01-05",0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,"Entire home/apt","Entire/Apt",1067,-1,-1,2,1,206,2,2,6.97260625130175,4,0.693147180559945,0.480453013918201,5.33271879326537,2,2
"34",40,83855,20250316041547,"city scrape",315332,"Lubos & Marta","2010-12-10","100","95","Staré Město",14,32,"['email', 'phone', 'work_email']",1,1,"","Praha 1",50.08409,14.41352,"Rental Unit","Entire home/apt",5,1,"1 bath",1,3,2163,3,365,1,5,365,365,4,365,"t",22,35,60,196,"2025-03-16",49,1,196,51,255,551565,"2012-06-12","2025-02-19",0,14,14,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,"Entire home/apt","Entire/Apt",2163,100,95,5,1,295,3,3,7.67925142595306,25,1.6094379124341,2.59029039398023,5.69035945432406,2,3
"35",41,83856,20250316041547,"city scrape",315332,"Lubos & Marta","2010-12-10","100","95","Staré Město",14,32,"['email', 'phone', 'work_email']",1,1,"","Praha 1",50.08385,14.41463,"Rental Unit","Entire home/apt",5,1,"1 bath",1,3,2378,3,365,1,5,365,365,4,365,"t",12,16,33,167,"2025-03-16",43,3,167,49,255,606390,"2011-04-17","2025-02-23",0,14,14,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,"Entire home/apt","Entire/Apt",2378,100,95,5,1,441,3,3,7.77401507725073,25,1.6094379124341,2.59029039398023,6.0913098820777,2,3
"36",42,85790,20250316041547,"city scrape",383698,"Veronika","2011-02-09","100","100","Staré Město",36,36,"['email', 'phone']",1,1,"Prague, Czechia","Praha 1",50.07744,14.4141,"Rental Unit","Entire home/apt",12,1.5,"1.5 baths",3,12,3551,1,365,1,2,365,365,1.2,365,"t",20,39,61,273,"2025-03-16",14,0,241,18,84,298284,"2011-08-22","2024-12-24",1,36,36,0,0,1,1,1,1,1,1,0,1,1,1,0,1,0,1,0,0,1,0,0,0,"Entire home/apt","Entire/Apt",3551,100,100,12,1.5,148,1,12,8.17498453294309,144,2.484906649788,6.17476105816062,5.00394630594546,2,1
"37",43,98852,20250316041547,"city scrape",517329,"Terezie","2011-04-18","100","99","Staré Město",1,3,"['email', 'phone']",1,1,"Prague, Czechia","Praha 1",50.08588,14.42145,"Rental Unit","Entire home/apt",2,1,"1 bath",1,1,1980,2,15,2,2,1125,1125,2,1125,"t",15,23,33,208,"2025-03-16",50,0,135,53,255,504900,"2011-04-24","2025-01-10",1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,0,1,0,"Entire home/apt","Entire/Apt",1980,100,99,2,1,653,2,1,7.59085212368858,4,0.693147180559945,0.480453013918201,6.4831073514572,2,2
"38",44,106207,20250316041547,"city scrape",227945,"Alex And Kate","2010-09-08","100","100","Prague 2",123,194,"['email', 'phone']",1,1,"Prague, Czechia","Praha 3",50.08655,14.4512,"Rental Unit","Entire home/apt",4,1,"1 bath",1,2,1119,2,365,1,5,1125,1125,2.1,1125,"t",7,30,47,47,"2025-03-16",42,1,47,51,252,281988,"2011-07-06","2025-03-10",1,101,101,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,"Entire home/apt","Entire/Apt",1119,100,100,4,1,346,2,2,7.02019070831193,16,1.38629436111989,1.92181205567281,5.84932477994686,2,2
"39",45,939413,20250316041547,"city scrape",3279605,"Elena And Kira","2012-08-16","100","44","Prague 2",17,17,"['email', 'phone', 'work_email']",1,1,"Prague, Hlavní město Praha, Czechia","Praha 2",50.07368,14.4294,"Rental Unit","Entire home/apt",3,1,"1 bath",0,1,4910,1,1125,1,4,1125,1125,1.7,1125,"t",30,59,85,321,"2025-03-16",3,0,250,4,18,88380,"2013-03-04","2025-01-02",0,16,15,1,0,1,0,1,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,"Entire home/apt","Entire/Apt",4910,100,44,3,1,161,1,1,8.49902922078857,9,1.09861228866811,1.20694896081258,5.08759633523238,2,1
"40",46,970935,20250316041547,"city scrape",5306055,"Alan","2013-03-03","100","100","Josefov",3,3,"['email', 'phone']",1,1,"","Praha 1",50.09015,14.41849,"Condo","Entire home/apt",3,1,"1 bath",1,3,1671,1,31,1,2,1125,1125,1,1125,"t",9,15,29,223,"2025-03-16",27,3,208,23,162,270702,"2013-04-29","2025-03-09",1,2,2,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,"Entire home/apt","Entire/Apt",1671,100,100,3,1,206,1,3,7.42117752859539,9,1.09861228866811,1.20694896081258,5.33271879326537,2,1
"41",47,976660,20250316041547,"city scrape",3321411,"Kateřina","2012-08-20","100","100","Letná",4,7,"['email', 'phone']",1,1,"Prague, Hlavní město Praha, Czechia","Praha 7",50.10003,14.41659,"Rental Unit","Entire home/apt",4,1,"1 bath",2,2,1628,3,1125,2,3,1125,1125,3,1125,"t",14,16,20,157,"2025-03-16",17,0,83,18,102,166056,"2013-04-01","2024-11-08",0,4,4,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,"Entire home/apt","Entire/Apt",1628,100,100,4,1,136,3,2,7.39510754656249,16,1.38629436111989,1.92181205567281,4.91998092582813,2,3
"42",48,977301,20250316041547,"city scrape",3228013,"Kira And Irina","2012-08-11","100","49","Prague 2",36,36,"['email', 'phone']",1,1,"Prague, Hlavní město Praha, Czechia","Praha 2",50.07397,14.43056,"Rental Unit","Entire home/apt",3,0.5,"Half-bath",1,1,1897,1,1125,1,3,1125,1125,1.6,1125,"t",30,57,80,355,"2025-03-16",0,0,281,0,0,0,"2013-05-10","2023-12-16",0,34,22,10,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,0,"Entire home/apt","Entire/Apt",1897,100,49,3,0.5,142,1,1,7.54802896993501,9,1.09861228866811,1.20694896081258,4.96284463025991,1,1
